OBJECTID,area_ac,Shape__Area,Shape__Length
540,14.83,587559.0390625,3128.50029164045
541,32.12,1399189.21972656,6570.72278235799
542,2.47,107630.060546875,1312.3287834583
543,2.47,107625.668945313,1312.30345768062
544,2.47,107629.147460938,1312.32348969874
545,79.07,3444123.96875,11820.0402111232
546,4.94,215251.455078125,1973.12864093962
547,9.88,430517.637695313,2624.64995605455
548,2.47,107625.7109375,1312.3036875628
549,19.77,861006.514648438,4597.73393340374
550,7.41,322885.444335938,2624.63955876848
551,2.47,107629.522460938,1312.32562247058
552,24.71,1076295.44140625,5258.40996218839
553,130.97,5704166.58496094,13811.8891743798
554,2.47,107625.684570313,1312.3035020148
555,2.47,107627.098632813,1312.31161858553
556,7.41,322888.416015625,2624.65102539986
557,2.47,107628.197265625,1312.3179789557
558,7.41,322877.495117188,2624.60870354817
559,2.47,107625.856445313,1312.30450819069
560,1354.13,58771122.8994141,48637.2819472935
561,7.41,322881.8671875,2624.6259704802
562,2.47,107630.717773438,1312.33253408374
563,14.83,645761.434570313,3936.93011846327
564,59.31,2583020.3671875,10489.1006055405
565,7.41,322892.717773438,2624.6677386485
566,2.47,107627.23828125,1312.31237494113
567,2.47,107627.388671875,1312.31330265621
568,27.18,1183942.59179688,5258.36793985693
569,2.47,107627.33984375,1312.31296649585
570,4.94,215262.659179688,1973.01429808307
571,56.83,2475419.484375,11810.7974905502
572,29.65,1291512.015625,5900.70738665622
573,51.89,2260255.42578125,11159.369755302
574,2.47,107626.0703125,1312.30571873963
575,185.33,8072238.98339844,17060.2580181666
576,2.47,107626.024414063,1312.3054187282
577,46.95,1983018.00878906,8371.89445230863
578,12.36,538156.552734375,3927.98594356248
579,17.3,753414.426757813,3936.99686549152
580,2.47,107631.358398438,1312.3362633702
581,17.3,753408.360351563,4588.59321660094
582,14.83,645770.08984375,4597.70723006869
583,12.36,538129.879882813,3927.57623796125
584,2.47,107631.495117188,1312.33704419613
585,9.88,430521.837890625,3276.29511932974
586,2.47,107626.295898438,1312.30694683803
587,54.36,2367804.33398438,7873.88140877921
588,2.47,107627.211914063,1312.31222397507
589,17.3,753418.622070313,4597.68919233767
590,2.47,107628.58984375,1312.32017378632
591,4.94,215254.208984375,1963.83696908363
592,19.77,861048.0625,3927.96245298559
593,9.88,430517.453125,3285.37328012342
594,2.47,107628.529296875,1312.31982764021
595,2.47,107626.118164063,1312.30595036903
596,2.47,107626.018554688,1312.30537513038
597,12.36,538136.5546875,3276.1561833251
598,4.94,215257.915039063,1963.90705939244
599,279.23,12161733.4628906,38717.6792408013
600,2.47,107626.048828125,1312.30553409274
601,2.47,107631.564453125,1312.33743359412
602,2.47,107628.600585938,1312.32019389638
603,27.18,1183890.50488281,6552.23004546722
604,444.79,19372721.6201172,40662.8585703085
605,2.47,107626.15234375,1312.30615861913
606,7.41,322891.625,2624.66372316662
607,4.94,215254.693359375,1963.84592211783
608,2.47,107627.265625,1312.31249257108
609,4.94,215259.29296875,1973.04598725668
610,2.47,107628.811523438,1312.32145901553
611,2.47,107628.794921875,1312.32135464348
612,2.47,107628.70703125,1312.32082968193
613,4.94,215254.52734375,1963.84500119903
614,2.47,107628.6640625,1312.32056200789
615,9.88,430527.426757813,3276.3462241593
616,2.47,107628.822265625,1312.32149401485
617,29.65,1291544.31445313,7222.34930504269
618,2.47,107628.97265625,1312.32239988871
619,49.42,2152557.01660156,7213.12497479398
620,1709.96,74479674.3203125,66331.7039874057
621,12.36,538148.645507813,3285.37274643648
